Name,Link to back sync,Variables (from Name copy),Title,CF Standard Name,Proposed CF Standard Name,Units,UID,Processing Note,Processing Comment,Provenance,Name Validation,Review Status (internal)
sisnmassn,sisnmassn,"SImon.sisnmassn, SIday.sisnmassn",Snow Mass on Sea Ice North,surface_snow_mass,surface_snow_mass,kg,f86eb6d1-8ca1-11ef-944e-41a8eb05f654,si,,,1,Accepted for CMIP7
sisnmasss,sisnmasss,"SImon.sisnmasss, SIday.sisnmasss",Snow Mass on Sea Ice South,surface_snow_mass,surface_snow_mass,kg,f86eb6d2-8ca1-11ef-944e-41a8eb05f654,si,,,1,Accepted for CMIP7
sisnthick,sisnthick,"SImon.sisnthick, SIday.sisnthick, SImon.sisnthickSouth30",Snow Thickness,surface_snow_thickness,,m,5913c266-9e49-11e5-803c-0d0b866b59f3,si,CHANGE SINCE CMIP6 in Description,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sispeed,sispeed,"SImon.sispeed, SIday.sispeed",Sea-Ice Speed,sea_ice_speed,,m s-1,590f4f2e-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sistressave,sistressave,SImon.sistressave,Average Normal Stress in Sea Ice,sea_ice_average_normal_horizontal_stress,,N m-1,590e4bd8-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Name - CMIP6: sistresave, CMIP7: sistressave",CMIP6 endorsement [SIMIP],1,Existing physical parameter
sistressmax,sistressmax,SImon.sistressmax,Maximum Shear Stress in Sea Ice,maximum_over_coordinate_rotation_of_sea_ice_horizontal_shear_stress,,N m-1,590ea16e-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Name - CMIP6: sistremax, CMIP7: sistressmax",CMIP6 endorsement [SIMIP],1,Existing physical parameter
sistrxdtop,sistrxdtop,SImon.sistrxdtop,X-Component of Atmospheric Stress on Sea Ice,surface_downward_x_stress,,N m-2,5913f77c-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sistrxubot,sistrxubot,SImon.sistrxubot,X-Component of Ocean Stress on Sea Ice,upward_x_stress_at_sea_ice_base,,N m-2,590d2848-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sistrydtop,sistrydtop,SImon.sistrydtop,Y-Component of Atmospheric Stress on Sea Ice,surface_downward_y_stress,,N m-2,591774d8-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sistryubot,sistryubot,SImon.sistryubot,Y-Component of Ocean Stress on Sea Ice,upward_y_stress_at_sea_ice_base,,N m-2,59150da6-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sitempbot,sitempbot,"SImon.sitempbot, SIday.sitempbot",Temperature at Ice-Ocean Interface,sea_ice_basal_temperature,,K,5914d6d8-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sitempsnic,sitempsnic,"SImon.sitempsnic, SIday.sitempsnic",Temperature at Snow-Ice Interface,sea_ice_surface_temperature,,K,590e34fe-9e49-11e5-803c-0d0b866b59f3,si,CHANGE SINCE CMIP6 in Description,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sitemptop,sitemptop,"SImon.sitemptop, SIday.sitemptop, SImon.sitemptopSouth30",Surface Temperature of Sea Ice,surface_temperature,,K,5914a456-9e49-11e5-803c-0d0b866b59f3,si,CHANGE SINCE CMIP6 in Description,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sithick,sithick,"SImon.sithick, SIday.sithick, SImon.sithickSouth30",Sea-Ice Thickness,sea_ice_thickness,,m,591321f8-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Title and Description - CMIP6: Sea Ice Thickness, CMIP7: Sea-Ice Thickness",CMIP6 endorsement [SIMIP],1,Existing physical parameter
sitimefrac,sitimefrac,"SImon.sitimefrac, SIday.sitimefrac, SImon.sitimefracSouth30",Fraction of Time Steps with Sea Ice,fraction_of_time_with_sea_ice_area_fraction_above_threshold,,1,590e8b2a-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
siu,siu,"SImon.siu, SIday.siu, SImon.siuSouth30",X-Component of Sea-Ice Velocity,sea_ice_x_velocity,,m s-1,590e80c6-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
siv,siv,"SImon.siv, SIday.siv, SImon.sivSouth30",Y-Component of Sea-Ice Velocity,sea_ice_y_velocity,,m s-1,59141748-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sivol,sivol,SImon.sivol,Sea-Ice Volume per Area,sea_ice_thickness,,m,591801d2-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sivoln,sivoln,"SImon.sivoln, SIday.sivoln",Sea-Ice Volume North,sea_ice_volume,,1e3 km3,5913c9aa-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sivols,sivols,"SImon.sivols, SIday.sivols",Sea-Ice Volume South,sea_ice_volume,,1e3 km3,590ee2fa-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
tslsi,tslsi,"day.tslsi, 3hr.tslsi",Surface Temperature Where Land or Sea Ice,surface_temperature,,K,2a92e434b37059d90e72b193bdbcce0f,si,,"CMIP5_day,PMIP3_day",1,Existing physical parameter
vsfsit,vsfsit,Omon.vsfsit,Virtual Salt Flux into Sea Water Due to Sea Ice Thermodynamics,virtual_salt_flux_into_sea_water_due_to_sea_ice_thermodynamics,,kg m-2 s-1,d0c290e7deb148591b62f8f050a885c2,si,,OMIP.Omon,1,Existing physical parameter
